,document_id,question,answer,difficulty
3443,/chinese_dynasties/Zhou_dynasty.txt,Is Zhou the longest dynastic regime in Chinese history?,Yes,E
5041,/chinese_dynasties/Xin_dynasty.txt,Why did Wang Mang restore the government's old monopoly on the salt and iron industries?,"In order to weaken the nobles, strengthen the central government, reform the economy, and improve the peasants' situation.",H
4624,/indian_states/Karnataka.txt,How many seasons does Karnataka experience?,Four,E
5341,/chinese_dynasties/Jin_dynasty_(266–420).txt,Did any refugee ever settle in the south of the Yangtze River?,Yes,M
3139,/indian_states/Rajasthan.txt,Bagri belongs to what group of Indo-Aryan languages?,Rajasthani,H
3477,/languages/Portuguese_language.txt,Which language family does Portuguese belong to?,Indo-European,E
4290,/chinese_dynasties/Northern_Wei.txt,Did the Emperor Taiwu only plan one attack to Northern Yan dynasty after year 432?,No,H
2820,/chinese_dynasties/Shang_dynasty.txt,What material was used in weapons?,Bronze,E
3297,/indian_states/Tamil_Nadu.txt,What is the second most populated state in Tamil Nadu?,Coimbatore,H
5733,/chinese_dynasties/Sui_dynasty.txt,Was Chang'an the capital of The Sui dynasty?,Yes,M
808,/constellations/libra_constellation.txt,How many stars did Ptolemy catalogue?,17,E
3405,/chinese_dynasties/Xin_dynasty.txt,Did the Xin Dynasty allow the sale of slaves?,No,H
804,/languages/Spanish_language.txt,When was the Royal Spanish Academy founded?,1713,E
1513,/indian_states/Kerala.txt,How wide are highways in Kerala?,45 metres (148 feet),E
6587,/indian_states/Gujarat.txt,Was Aurangzeb the sixth Mughal Emperor?,Yes,E
2856,/chinese_dynasties/Tang_dynasty.txt,Who taught did the Chinese learn to make sugar?,Indian envoys,M
3954,/indian_states/Tamil_Nadu.txt,Is it true that the manufacturing sector in Tamil Nadu does not contribute to the state's GDP?,No ,M
6840,/indian_states/Karnataka.txt,Is 52% of the population of Karnataka female?,No,M
7094,/pokemon_characters/psyduck_pokemon.txt,Was Pokémon Mystery Dungeon: Adventure Team released in the USA?,No,H
877,/pokemon_characters/mewtwo_pokemon.txt,Who is Mewtwo's partner in Pokemon Masters?,Giovanni,M
4492,/chinese_dynasties/Northern_Wei.txt,In what year did the Tuoba Wei dynasty unify northern China?,439,H
1559,/constellations/gemini_constellation.txt,How many stars of the Gemini constellation can be seen without instruments?,85,M
164,/constellations/virgo_constellation.txt,What relation do Boötes and Virgo have in mythology?,Father and daughter,M
2522,/languages/English_language.txt,Is English a West Germanic language of the Indo-European language family?,Yes,E
1000,/pokemon_characters/pikachu_pokemon.txt,Who designed pikachu?,Atsuko Nishida and Ken Sugimori,E
6639,/languages/French_language.txt,In what region is the French language is most likely to expand and also where the language has evolved the most in recent years? ,Sub-Saharan Africa,H
2911,/pokemon_characters/pikachu_pokemon.txt,What Pokemon game features Pikachu as the only available starter Pokemon?,Pokemon Yellow.,E
1283,/constellations/sagittarius_constellation.txt,When will the Sun be in Scorpius at the December solstice?,2700 AD,E
820,/chinese_dynasties/Shang_dynasty.txt,Are Yinxu people are more closely related to southern or northern Han chinese?,Northern,E
6231,/languages/English_language.txt,Who was responsible for spreading English in the 17th century?,The British Empire,M
2913,/pokemon_characters/bulbasaur_pokemon.txt,At what level can Bulbasaur evolve into Ivysaur?,Level 14 or 16.,E
2420,/indian_states/Rajasthan.txt,Is Rajasthan a state in South Africa?,No,M
6174,/pokemon_characters/mewtwo_pokemon.txt,Did Reiko Takashima voice the first Mewtwo?,No.,M
3293,/indian_states/Tamil_Nadu.txt,Is Tamil Nadu prone to earthquakes?,yes,H
1546,/indian_states/Maharashtra.txt,How does Maharashtra protect its population of tigers?,Six dedicated tiger reserves,M
1081,/languages/English_language.txt,What are the four forms of English?,"Old English, Middle English, Early Modern English and Modern English",H
2533,/constellations/aries_constellation.txt,Does the constellation named Wei stand for granaries?,Yes,M
5540,/pokemon_characters/psyduck_pokemon.txt,Is Psyduck's attack stable when Misty uses it?,No,H
6733,/chinese_dynasties/Liu_Song_dynasty.txt,What did Chinese lost during the Sixteen Kingdoms era?,territories,M
32,/pokemon_characters/pikachu_pokemon.txt,Is Pikachu a real being?,no,M
2402,/pokemon_characters/snorlax_pokemon.txt,Who voiced Snorlax in the Japanese versions of the Pokemon anime and the Super Smash Bros. series of video games?,Katsuyuki Konishi,E
1758,/chinese_dynasties/Sui_dynasty.txt,Did any emperors practice Buddhism in the Sui dynasty?,Yes,M
4411,/languages/Urdu_language.txt,What percentage of Pakistan's population spoke Urdu as their native language around 1992?,7%,E
4698,/indian_states/Maharashtra.txt,Where is India's largest stock exchange?,Mumbai,H
1100,/chinese_dynasties/Chen_dynasty.txt,What is the alternative name for the Chen dynasty?,the Southern Chen ,M
4179,/chinese_dynasties/Chen_dynasty.txt,"Who wrote the chapter ""Peacock Flying Southeast""?",Xu Ling,H
4712,/languages/French_language.txt,Is Montreal in Canada?,Yes,H
3524,/pokemon_characters/squirtle_pokemon.txt,What was squirtle's final design based on?,A turtle-esque Pokémon,E
5342,/chinese_dynasties/Liang_dynasty.txt,Did Emperor Jianwen abdicate to Hou?,No,M
157,/constellations/cancer_constellation.txt,What are the two stars in Cancer brighter than fourth magnitude?,Beta Cancri and Delta Cancri,H
951,/pokemon_characters/eevee_pokemon.txt,Who designed Vaporeon?,Atsuko Nishida,E
2483,/constellations/gemini_constellation.txt,Which constellation is one of the 48 constellations described by the 2nd century AD astronomer Ptolemy and whose brightest star is Pollux?,Gemini,H
4627,/indian_states/Punjab.txt,What in the region ended around 12 B.C.E. when the Punjab fell under the Sassanids?,Greek influence,E
486,/chinese_dynasties/Chen_dynasty.txt,Who was the successor to the successor of Emperor Wen?,Chen Xu (Emperor Xuan),H
3596,/languages/Arabic_language.txt,Was the Arabic Academies first established in Damascus?,Yes,M
186,/constellations/libra_constellation.txt,In what season does the Sun appear in Libra?,Autumn,M
3325,/chinese_dynasties/Han_dynasty.txt,What King of Wei usurped Emperor Xian?,Cao Pi,E
4832,/pokemon_characters/psyduck_pokemon.txt,Did the New York Times compared a duck-billed platypus to Psyduck?,Yes,M
4068,/indian_states/West_Bengal.txt,What are the state's main ethnic group?,Bengalis,E
356,/languages/French_language.txt,"When was French introduced to new territories in the Americas, Africa and Asia?",16th century,M
1350,/pokemon_characters/psyduck_pokemon.txt,Is Psyduck Generation I?,Yes,M
6669,/indian_states/Meghalaya.txt,Does Meghalaya have a rich base of artificial resources?,No,M
5087,/languages/Urdu_language.txt,Who was the first in British India to begin a systematic study on Urdu?,John Gilchrist.,E
4096,/indian_states/Uttar_Pradesh.txt,Did the divine King Rama reign within the regional borders of modern-day Uttar Pradesh?,Yes,H
4221,/chinese_dynasties/Han_dynasty.txt,When was the standard papermaking process invented by Cai Lun? ,105,E
6203,/languages/English_language.txt,When did Early Modern English begin?,In the late 15th century,E
5151,/languages/Mandarin_language.txt,Does the dialect Min originate from southeast coast?,No,M
6286,/pokemon_characters/snorlax_pokemon.txt,Is Snorlax the heaviest Pokémon?,No,H
2286,/languages/Portuguese_language.txt,Was Goa a former Portuguese colony in Asia? ,Yes ,H
5777,/pokemon_characters/jigglypuff_pokemon.txt,In which episode did the Jigglypuff's first apperance in the Pok√©mon anime series?,The Song of Jigglypuff,H
2627,/languages/French_language.txt,French is the first language of 29% of the population in what North American country?,Canada,H
6254,/indian_states/Punjab.txt,When did Alexander the Great invade Punjab?,326 BCE,M
5128,/pokemon_characters/psyduck_pokemon.txt,Who created Psyduck?,Ken Sugimori,E
689,/chinese_dynasties/Sui_dynasty.txt,Did Emperor Yang of Sui's father seek to gain support from the nomads?,Yes,H
1624,/pokemon_characters/mewtwo_pokemon.txt,What is the name of the special group of Pokémon that are very rare and usually very powerful?,Legendary,E
581,/chinese_dynasties/Liang_dynasty.txt,How many portraits in the copies from the Song Dynasty are missing when compared with the original work of the Portraits of Periodical Offering of Liang,13,H
4384,/chinese_dynasties/Liang_dynasty.txt,The Liang dynasty was succeeded by which dynasty?,The Chen dynasty,M
424,/languages/Urdu_language.txt,How many native Urdu speakers are there?,100 million,E
5044,/pokemon_characters/mewtwo_pokemon.txt,How tall is Mewtwo?,6 feet 7 inches (201 cm).,E
2724,/languages/Hindi_language.txt,What other dialects do not refer to the Standard Hindi language?,Awadhi and Bhojpuri,M
6556,/indian_states/Madhya_Pradesh.txt,Is the total population of Madhya Pradesh over 70 million people?,Yes,M
5871,/chinese_dynasties/Sui_dynasty.txt,Did Yang Guang have a consort who was a poet?,Yes,H
4744,/pokemon_characters/eevee_pokemon.txt,Who owns Eevee in Detective Pikachu?,Howard Clifford,M
2214,/pokemon_characters/pikachu_pokemon.txt,"When exposed to a ""Thunder Stone"", what can Pikachu transform into?",Raichu ,E
3020,/chinese_dynasties/Sui_dynasty.txt,How many troops did the Sui amass on the Yangtze river?,"518,000",E
1761,/pokemon_characters/eevee_pokemon.txt,Who owns a unique Eevee incapable of evolving?,Chloe Cerise,M
4187,/constellations/taurus_constellation.txt,Where is Taurus located?,The Northern celestial hemisphere,E
578,/constellations/scorpius_constellation.txt,"Why scorpio constellation is called as ""learning coconut tree"" by the Jaanese people?",due to shape similarity,H
3962,/constellations/cancer_constellation.txt,Is Cancer the dimmest of the zodiacal constellations? ,No,M
897,/languages/Mandarin_language.txt,Which dialect is the basis for Standard Chinese phonolgy?,Beijing Dialect,M
1562,/constellations/gemini_constellation.txt,Are the Castor and Pollux stars physically similar to each other?,No.,M
7039,/languages/Arabic_language.txt,What do the dialects of Arabic have in common with the Romance languages?,How they differ between each other,H
3397,/pokemon_characters/snorlax_pokemon.txt,What Pokeman can Munchlax evolve into?,Snorlax,M
4878,/chinese_dynasties/Xia_dynasty.txt,Did Shun sent the leader of the surrounding tribes to suppress the tribe that continuously abused the border tribes?,Yes,H
4490,/constellations/virgo_constellation.txt,Are all galaxies in the Virgo constellation present in the Virgo cluster?,No,H
6112,/languages/Indonesian_language.txt,How many native speakers did Indonesian have in 2010?,42.8 million.,E
3505,/chinese_dynasties/Jin_dynasty_(266–420).txt,What is the Former Qin state?,The Former Qin state was a Chinese dynasty that existed from 221 to 207 BC.,H
5509,/constellations/virgo_constellation.txt,Is Virgo the largest constellation in the sky?,No,M
5423,/constellations/gemini_constellation.txt,What is Latin for twins?,Gemini,E
1778,/languages/French_language.txt,Is French spoken by more than 20% of the European Union's population?,No,H
5321,/chinese_dynasties/Northern_Wei.txt,In what year did the Tuoba Gui defeat the Rouran tribes and kill their chief Heduohan?,391,E
4517,/pokemon_characters/snorlax_pokemon.txt,What is Snorlax known as in Japan?,Kabigon,E
2410,/languages/Urdu_language.txt,What is Kharibolis' earliest form?,Old Hindi or Hindavi,E
5188,/languages/English_language.txt,Did Modern English continues the regularisation of irregular forms?,Yes,H
3643,/chinese_dynasties/Shang_dynasty.txt,Who conquered Song in 286 BC?,the Qi,E
2430,/indian_states/Rajasthan.txt,What is the size of the Desert National Part in Jaisalmer?,3162,M
1508,/indian_states/Kerala.txt,What is the earliest Sanskrit text to mention Kerala as Cherapadha?,Aitareya Aranyaka,E
6442,/pokemon_characters/snorlax_pokemon.txt,Where did Snorlax first appear?,In the Game Boy video game Pokémon Red and Blue.,E
3482,/languages/Portuguese_language.txt,"What language is termed ""the language of Camões""?",Portuguese,H
5561,/constellations/aries_constellation.txt,"In the Greek mythology, who did Aries save?",Phrixos,H
1104,/chinese_dynasties/Chen_dynasty.txt,When did Xiao Ying die?,winter 544,E
2984,/pokemon_characters/psyduck_pokemon.txt,On how many limbs does Psyduck walk on?,Two.,H
4770,/indian_states/Uttar_Pradesh.txt,What is the most populated state in India?,Uttar Pradesh,M
2344,/constellations/scorpius_constellation.txt,What caused the difference between Scorpio's astrological sign and astronomical constellation?,Contellation Ophiuchus,M
5181,/languages/English_language.txt,Does part of the Anglo-Frisian languages originate from a Germanic tribal?,Yes,H
4231,/chinese_dynasties/Han_dynasty.txt,How long did the Eastern Han dynasty last?,205 years,M
985,/constellations/leo_constellation.txt,NGC 2903 is similar to which galaxy,Milky Way,M
2870,/chinese_dynasties/Liang_dynasty.txt,What is the meaning of the name of Capricornus' brightest star?,The tail of the goat,H
5930,/pokemon_characters/venusaur_pokemon.txt,Is it true that venusaur served as the moscot in three video games?,No,M
423,/languages/Bengali_language.txt,How many consonants does Bengali have?,29,E
3010,/languages/Portuguese_language.txt,Does Portuguese have the highest potential for growth as an international language in Southern Africa?,Yes,E
3086,/chinese_dynasties/Sui_dynasty.txt,Were Sui emperors proud of their Han ancestry?,Yes,H
193,/constellations/scorpius_constellation.txt,In what season is the Sun in Scorpius?,Autumn,M
783,/indian_states/West_Bengal.txt,"As of 2011, what percentage of West Bengal's religious population are neither Hindus nor Muslim?",2.45,H
3073,/constellations/sagittarius_constellation.txt,Where did Pyrrha go after the flood?,Mount Parnassus,H
5725,/languages/French_language.txt,Where do the majority of the world's French-speaking population live?,Africa,E
999,/pokemon_characters/jigglypuff_pokemon.txt,in 709 who requested Emperor Zhongzong to grant women the right to bequeath hereditary privileges to sons,Empress Wei,H
4135,/constellations/libra_constellation.txt,"Who referred to the Libra as ""MUL Zibanu""?",The Babylonians,M
1275,/constellations/pisces_constellation.txt,What were Johannes Hevelius's four subdivisions of Pisces?,"Piscis Boreus, Linum Boreum, Linum Austrinum, Piscis Austrinus ",H
2954,/pokemon_characters/bulbasaur_pokemon.txt,Is Bulbasaur the fire starter in Pokemon Red and Blue?,No.,M
2617,/languages/Spanish_language.txt,What is the most spoken variety of Spanish?,Mexican Spanish,M
4347,/constellations/virgo_constellation.txt,What is Virgo?,One of the constellations of the zodiac,E
4779,/chinese_dynasties/Northern_Wei.txt,Who created the Song Dynasty?,Emperor Wu,H
5763,/indian_states/Punjab.txt,Who established the Gujarat Sultanate in 1407?,Sultan Muzaffar Shah I,M
6676,/indian_states/Meghalaya.txt,Is the state the dryest region of India?,No,M
6581,/indian_states/Gujarat.txt,Does Cambay have beautiful architecture?,Yes,E
5027,/chinese_dynasties/Liang_dynasty.txt,Who were killed before Western Wei installed Xiao Cha as emperor of (Western) Liang?,Emperor Yuan as well as his sons.,M
3671,/pokemon_characters/mewtwo_pokemon.txt,"Which character is kiiled, causing Mewto to destroy the lab and escape?",Dr. Fuji,H
2551,/constellations/cancer_constellation.txt,Is the main component of Tarf an orange giant?,Yes,M
3392,/chinese_dynasties/Shang_dynasty.txt,What was the most common material that the Shang dynasty wrote on?,Oracle bones,M
3792,/indian_states/Gujarat.txt,Who ruled Gujarat in the 8th and 9th centuries CE?,Gurjara Pratihara.,M
4910,/indian_states/Andhra_Pradesh.txt,How many inhabitants does Andhra Pradesh have?,"49,386,799",E
1610,/indian_states/Maharashtra.txt,What are Maharashtra's two principal seaports?,Mumbai Port and Jawaharlal Nehru Port,E
45,/languages/Spanish_language.txt,Were the loanwords in Spanish were taken from more than one type of Latin?,yes,M
1843,/indian_states/Punjab.txt,Did the Hundu Shahi rule much of Punjab and eastern Afghanistan in the ninth century?,Yes,M
4248,/chinese_dynasties/Han_dynasty.txt,Are commanderies smaller than provinces in the Han empire?,Yes,M
969,/pokemon_characters/charizard_pokemon.txt,What is Charizard known as in Japan?,Lizardon,E
1895,/chinese_dynasties/Chen_dynasty.txt,"What are the chinese characters for the name ""Chong?""",王沖,H
2853,/chinese_dynasties/Tang_dynasty.txt,Why did more lower-class people enter the Imperial Examinations?,they were able to obtain cheaper sources of study,M
3831,/chinese_dynasties/Tang_dynasty.txt,What is the name of the emperor of An Lushan?,Yan state,M
6100,/constellations/capricornus_constellation.txt,What is contained within Capricornus?,Several galaxies and star clusters.,E
3033,/languages/Portuguese_language.txt,Portuguese is the official language in how many countries?,8,M
1592,/pokemon_characters/snorlax_pokemon.txt,What item can be used to wake up a Snorlax?,The Poké Flute,H
2941,/pokemon_characters/pikachu_pokemon.txt,How many Japanese onomotapoeia is Pikachu's name derived from?,Two.,M
4118,/pokemon_characters/jigglypuff_pokemon.txt,Which of Jigglypuff's moves has altered mechanics in the Super Smash Bros series?,Rest,H
6201,/constellations/capricornus_constellation.txt,Which constellations border Capricornus under modern boundaries?,"Aquila, Sagittarius, Microscopium, Piscis Austrinus, and Aquarius",E
6663,/indian_states/Meghalaya.txt,What district was formed by the further division of East Khasi Hills district on 4 June 1992?,Ri-Bhoi,E
5354,/constellations/pisces_constellation.txt,How many categories of Pisces did Johannes Hevelius in his Firmamentum Sobiescianum note?,Four,M
1340,/pokemon_characters/venusaur_pokemon.txt,What is Venusaur's first evolution?,Bulbasaur,M
5401,/chinese_dynasties/Han_dynasty.txt,Which dynasty first established the money economy?,the Zhou dynasty,M
1420,/indian_states/Kerala.txt,Was the word Kerala is first recorded as Keralaputo?,yes,E
3357,/languages/Indonesian_language.txt,"When picking a national language, what were the two most widely spoken local languages?",Javanese and Malay,H
4937,/indian_states/Karnataka.txt,Is Karnataka a state in the northeastern region of India?,No.,M
721,/indian_states/Madhya_Pradesh.txt,Which place has the 10th-largest economy in India?,Madhya Pradesh,E
2854,/chinese_dynasties/Tang_dynasty.txt,Which dynasty preceeded the Tang in using mechancial puppets?,the Qin dynasty,M
3273,/chinese_dynasties/Tang_dynasty.txt,Who was Empress Wu's son?,Zhongzong,H
5823,/constellations/gemini_constellation.txt,Do Epsilon Geminid meteors have a higher velocity than Orionids?,Yes,E
5678,/indian_states/Uttar_Pradesh.txt,Are floods and droughts common in Uttar Pradesh?,Yes.,H
5409,/chinese_dynasties/Jin_dynasty_(266–420).txt,Whose son usurped the Jin throne and declared the dynasty of Huan Chu?,Huan Xuan,M
367,/chinese_dynasties/Jin_dynasty_(266–420).txt,Is Fujian in northern China?,No,H
3788,/indian_states/Gujarat.txt,How many population does Gujarat have?,60.4 million.,E
782,/indian_states/West_Bengal.txt,"As of 2011, what percentage of West Bengal's religious population are Muslim?",27.01,H
6410,/indian_states/Rajasthan.txt,Is Rajasthan currently under British control?,No.,M
5315,/chinese_dynasties/Sui_dynasty.txt,What was the Sui dynasty capital?,Chang'an,E
2287,/languages/Portuguese_language.txt,Was Equatorial Guinea part of. the CPLP in 2009? ,No ,H
2607,/languages/Mandarin_language.txt,What dialect is Standard Mandarin Chinese based on?,the Beijing Dialect,E
4669,/indian_states/Maharashtra.txt,Are the headquarters of most of the major corporate and financial institutions in Mumbai?,Yes,M
1277,/constellations/pisces_constellation.txt,What profession was Pierre Méchain?,astronomer,E
1342,/languages/Spanish_language.txt,What year did the Phillippines gain independence?,1946,M
5943,/languages/Spanish_language.txt,Which language is the most of modern Spanish vocabulary derived from?,Latin,M
1423,/indian_states/Kerala.txt,Where did Namboothiri Brahmins migrate to Northern Kerala from?,Tulu Nadu,E
2358,/pokemon_characters/charmander_pokemon.txt,Did Charmander's personality persistent all the time?,No,M
175,/constellations/capricornus_constellation.txt,When did the December solstice take place in Capricornus?,The Early Bronze Age,M
3087,/pokemon_characters/snorlax_pokemon.txt,Where does Snorlax stay in Pokemon ranger?,A cave,H
4291,/chinese_dynasties/Northern_Wei.txt,In how many years after Northern Liang’s capital Guzang had been captured did the whole Northern Liang go under the Northern Wei?,2,H
5263,/languages/Spanish_language.txt,What is the official language of Spain?,Spanish,E
494,/languages/Urdu_language.txt,What percentage of Urdu verbs do not have their roots in Sanskrit and Prakrit?,Approximately 1%,H
5717,/indian_states/Maharashtra.txt,Which city is India's fiancial and commercial capital?,Mumbai ,E
2100,/pokemon_characters/mewtwo_pokemon.txt,Is Mewtwo a fictional creature from Nintendo?,Yes,E
6526,/indian_states/Punjab.txt,Around when did the first civilizations arise in the Punjabi Region?,3000 B.C.,M
6726,/chinese_dynasties/Liang_dynasty.txt,When did Chen Baxian established the new powerful Chen dynasty?,557,E
2721,/languages/Hindi_language.txt,When did Sanskrit apabhra emerge?,7th century CE,E
5702,/chinese_dynasties/Sui_dynasty.txt,In which year did the Xianbei-ruled Northern Zhou conquered the Northern Qi  and reunified northern China?,577,E
4462,/languages/Portuguese_language.txt,Is Portuguese the most spoken Romance language in the world?,No,M
1461,/indian_states/Rajasthan.txt,Did the oldest refrence to Rajasthan date to 200 CE?,no,M
1424,/indian_states/Kerala.txt,Namboothiri Brahmins migrated to Northern Kerala during the early Middle Ages ?,yes,E
4558,/indian_states/West_Bengal.txt,What is the areas of West Bengal in square miles?,34267,M
4277,/chinese_dynasties/Han_dynasty.txt,What was reintroduced in 186 BC by Grand Empress Dowager Lü Zhi? ,government mint,H
3390,/indian_states/Gujarat.txt,What is the most common language spoken among Gujarati Muslims,Gujarati,M
4258,/chinese_dynasties/Xia_dynasty.txt,Were there more than ten musical instruments dated to the Xia dynasty?,No,M
3462,/chinese_dynasties/Liu_Song_dynasty.txt,Who was Liu Yu's eventual successor?,Wendi,H
1878,/languages/Portuguese_language.txt,Why is getting accurate data about diasporic portuguese speakers hard?,"a significant portion of these citizens are naturalized citizens born outside of Lusophone territory or are children of immigrants, and may have only a basic command of the language.",H
1364,/indian_states/Kerala.txt,"Are there more than 5,000 festivals celebrated in Kerala annually?",Yes,M
6485,/indian_states/Andhra_Pradesh.txt,When did Potti Sreeramulu fast to death?,1952,E
2051,/chinese_dynasties/Tang_dynasty.txt,How many exam type are there for imperial candidates?,Two,H
3291,/indian_states/Tamil_Nadu.txt,"In the 18th century, did Tamil Nadu have a consistent and stable political system?",no,H
6458,/pokemon_characters/charizard_pokemon.txt,What is the highest that Charizard can fly?,4600 feet.,M
1460,/indian_states/Rajasthan.txt,"Does Rajasthan mean the ""land of the Sea""?",no,M
5732,/chinese_dynasties/Sui_dynasty.txt,Which Emperor founded the Sui dynasty? ,Emperor Wen of Sui,M
3344,/indian_states/Gujarat.txt,What is one of the dinosaur species found at Balasinor?,Rajasurus narmadensis,H
3221,/chinese_dynasties/Tang_dynasty.txt,Who was the founder of the Tang dynasty?,Li Yuan,E
6980,/indian_states/Uttar_Pradesh.txt,When did Uttar Pradesh win its first Ranji Trophy tournament?,Feb-06,E
5647,/pokemon_characters/charmander_pokemon.txt,What type is Charmander?,Fire type,E
6004,/indian_states/West_Bengal.txt,Who appoints the titular head of government in West Bengal?,President of India,H
289,/chinese_dynasties/Shang_dynasty.txt,What is the cause that let Zhou defeat Di Xin's army?,Di Xin's army and equipped slaved betrayed Di Xin by joining Zhou,H
2692,/indian_states/West_Bengal.txt,What region in West Bengal includes the location Sandakfu?,the Darjeeling Himalayan hill region,H
1947,/constellations/scorpius_constellation.txt,M80 was discovered in 1881 by who? ,Charles Messier,M
2028,/chinese_dynasties/Sui_dynasty.txt,Was rituals and sacrifices invented by the Tang dynasty?,No,H
5809,/indian_states/Punjab.txt,When did the last assembly before independence hold its last sitting?,17352,E
2168,/chinese_dynasties/Han_dynasty.txt,Who did the Han dynasty have many conflicts with?,The Xiongnu,E
1268,/chinese_dynasties/Chen_dynasty.txt,Who was the last ruler of the Chen dynasty,Chen Shubao,E
6106,/constellations/capricornus_constellation.txt,Are there groups of at least 2 galaxies in Capricornus?,Yes.,M
2924,/pokemon_characters/squirtle_pokemon.txt,How many squirtles were in the Squirtle Squad in the Pokemon anime?,Five.,E
3008,/languages/Portuguese_language.txt,How many speakers does Portuguese have?,Approximately 124 million,E
795,/indian_states/West_Bengal.txt,"As of the 2011 census, what percent of the Indian population didn't speak Santali as their first language? ",97.34,H
1676,/pokemon_characters/bulbasaur_pokemon.txt,Do Charmander or Squirtle have dual typings?,no,H
2538,/constellations/aries_constellation.txt,Which group of comets is The Daytime Arietid Meteor Shower associated with?,Marsden,M
2114,/pokemon_characters/mewtwo_pokemon.txt,Which Pokémon are capable of human speech?,"Mewtwo, Zekrom, Reshiram, Zygarde, the Ultra Beast Naganadel, Xerneas, Diancie, Calyrex and Arceus.",M
4256,/chinese_dynasties/Xia_dynasty.txt,Was Xia the dynasty that precedes Tang dynasty in traditional historiography?,No,M
4481,/languages/French_language.txt,Do Francophones make up the majority of the population in French Polynesia?,Yes,H
2247,/languages/Portuguese_language.txt,Is Galicia a country? ,No,M
1063,/pokemon_characters/eevee_pokemon.txt,How many different evolutions does eevee have?,8,M
5740,/indian_states/Rajasthan.txt,What is the population in Rajasthan according ot the 2011 Census of India?,68548437,M
2152,/constellations/cancer_constellation.txt,"Who described the Beehive Cluster as ""the nebulous mass in the breast of Cancer.""?",Ptolemy,E
294,/languages/Mandarin_language.txt,Which dialect does the Manchu people speak?,Xibe,H
2575,/constellations/aries_constellation.txt,Was the constellation associated with the golden ram of Greek mythology not fully accepted as a constellation until classical times?,Yes,H
7077,/chinese_dynasties/Sui_dynasty.txt,Who ruled Jiankang before the Sui?,Chen,H
5085,/languages/English_language.txt,Is English mutually intelligible with Dutch?,No.,H
1787,/pokemon_characters/charizard_pokemon.txt,Is Charizard considered a dragon?,Yes,H
4682,/constellations/sagittarius_constellation.txt,How many heads is the god Nergal generally depicted with?,Two,H
4553,/indian_states/Gujarat.txt,Which state encompasses the highest number of ancient Indus Valley Civilisation sights?,Gujarat,M
5579,/pokemon_characters/pikachu_pokemon.txt,Is Pikachu the only Pokemon who can do electricity attacks?,Yes,M
5136,/indian_states/Andhra_Pradesh.txt,Was Neelam Sanjiva Reddy after Tanguturi Prakasam Pantulu to become the Chief Miniter?,Yes,M
5760,/chinese_dynasties/Jin_dynasty_(266–420).txt,Di Sima Fei and Sima Chuzhi both married Xianbei Princessess?,Yes,M
5913,/constellations/scorpius_constellation.txt,Who is the father of Phaethon?,Helios,M
2485,/constellations/gemini_constellation.txt,Which is a long-period binary star in the Gemini constellation which is divisible in medium amateur telescopes?,Wasat,H
2899,/indian_states/Maharashtra.txt,Where does river Krishna flow into?,Bay of Bengal,H
5666,/chinese_dynasties/Jin_dynasty_(266–420).txt,"In 304, did the Jin dynasty have a time of peaceful prosperity?",No.,M
3979,/languages/German_language.txt,In how many countries or provinces is German an official or co-official language in?,Eight,H
5867,/chinese_dynasties/Sui_dynasty.txt,Who wrote the Explanation of the Mean?,Wang Tong,M
1187,/chinese_dynasties/Zhou_dynasty.txt,Who was the wife of the legendary Emperor Ku?,Jiang Yuan,M
3924,/pokemon_characters/bulbasaur_pokemon.txt,What Pokemon species is Bulbasaur? ,Grass/Poision-type ,E
4879,/chinese_dynasties/Xia_dynasty.txt,Is the father of Yu the Great ordered to be imprisoned for life by Shun?,Yes,H
2542,/constellations/virgo_constellation.txt,What is the name of the optically brightest quasar in the sky?,Virgo,M
6843,/indian_states/Karnataka.txt,Which sport has Kodagu contributed to?,Field hockey,M
7092,/pokemon_characters/psyduck_pokemon.txt,Who voices Psyduck in Japan?,Rikako Aikawa,M
622,/pokemon_characters/jigglypuff_pokemon.txt,Which pokemon does Jigglypuff evolve into when exposed to a Moon Stone?,Wigglytuff,E
358,/languages/French_language.txt,Is the population in Gaul all indigenous in origin?,No,H
691,/chinese_dynasties/Xia_dynasty.txt,Who established the Xia dynasty?,Yu the Great,E
2215,/languages/Portuguese_language.txt,Where did Portuguese originate? ,the Iberian Peninsula of Europe ,E
924,/languages/Mandarin_language.txt,Is Malay one of the four official languages of Singapore?,Yes,M
5153,/languages/Mandarin_language.txt,"Until the 20th century, Was there more than half of Chinese people spearking only their local variety in the South China?",Yes,M
1932,/indian_states/Karnataka.txt,Is Karnataka ranked as the most popular destination for tourism among states of India?,No,M
3886,/indian_states/Gujarat.txt,In which year was the first successful agitation that ousted an elected government after the Independence of India ?,1974,H
3888,/indian_states/Gujarat.txt,Who founded Physical Research Laboratory and envisioned Indian Institute of Management Ahmedabad?,Dr. Vikram Sarabhai,H
3244,/chinese_dynasties/Tang_dynasty.txt,Did the Tang government favor open competition for government positions?,yes,M
6469,/constellations/sagittarius_constellation.txt,Can all of the milky way be observed with visible wavelengths?,No.,H
440,/languages/Russian_language.txt,"Does the US Intelligent Community regard Russian as a ""hard target"" language?",Yes,M
1510,/indian_states/Kerala.txt,Is the Vizhinjam International Seaport classified as an intermediate port?,Yes.,E
