question,answer
Who is resurrected after the fighting stops?,Ash
Who is Ibn Jinni of Mosul?,A pioneer in phonology
What is the second-most spoken native language in the world?,Spanish
Why Uttar Pradesh is important in modern Indian history?,Central to Indian politics
"In 2011, were there more males than females in Meghalaya's population?",No 
How many Nigerians speak English?,over 150 million
What instrument is folk music in West Bengal often accompanied by?,Ektara
"Squirtle's Japanese voice actor, Rikako Aikawa, was replaced by who for the English dub?",Eric Stuart
What Mesopotamian god has influenced the name of Spica?,Shala.
Was the Chera dynasty the first prominent kingdom based in Kerala?,yes
Where is the Tang capital?,Chang'an 
Is sanqu poetry based on Old Mandarin?,Yes
Was the Tang economy enriched by the trade it conducted?,Yes
Was Liu Yu born into rich family?,No
Which Indian state is shravanabelagola located in?,Karnataka
What is Gangam Sudhir Kumar Reddy's native language?,Telugu
Was Zhou dynasty (1046–256 BC) the verified earliest Chinese dynasty after 20th Century?,No
Is Capricornus bordered by Piscis?,No.
What is the ability of Mega Charizard Y?,Drought
In terms of what was Mewtwo the strongest in the original games?,Stats.
Is the design of Bulbasaur inspired by a Dicynodont?,No
Are there over 50 million native speakers of Urdu in India and Pakistan together?,Yes
Was the Kerala school of astronomy and mathematics flourishing in the 15th century?,Yes
What was the name of Sima Fei's wife?,Huayang
Which video game did Psyduck make its debut appearance in the Pokemon series?,Pokémon Red and Blue
Does Indonesian have the same vocabulary as Malaysian Malay?,no
Which script is Spanish written in?,Latin
What state in India is the largest producer of eggs?,Andhra Pradesh
"Who states that Charizard was expected to be popular with North American audiences because of their preference for strong, powerful characters?",Tsunekazu Ishihara
What is a compact Shapley class II cluster?,Messier 80
"In 1880, what script did Sir Ashley Eden order the court should exclusively use?",Kaithi
Was bronze smelting not directed by the nobility?,No
Who designed Squirtle?,Atsuko Nishida
What constellation is Libra south of?,the head of Serpens
Who founded the Jin dynasty?,Sima Yan
What is magnitude of Messier 80?,7.3
Is Bulbasaur a starter in Pokemon Red and Blue?,Yes.
How many surviving works does Wang Tong have?,1
How many grammatical genders does German have?,3
The duck Pokémon was often released by accident by which character?,Misty
What is the nickname of the bright star in Scorpius with a reddish hue?,Rival of Mars.
How many speakers of Russian were there in 2010 across the world?,259.8 million
What is the clever and descriptive name of Psyduck that was created for western audiences?,Psyduck
Was native Chinese philosophy fully developed in the 6th century BC?,No
Who founded the earliest dynasty of traditional Chinese history firmly supported by archaeological evidence?,Tang
What animal does Charizard have a remarkable resemblance to?,dragon
What is the fastest growing European language?,English
Who was Fort Kochi was established by in 1664?,Dutch Malabar
Where did the Jigglypuff's Japanese name derives from,the Japanese loanword for custard or pudding
Does Meghalaya followe a patriarchal society?,No
Who's success in stopping the flooding increased agricultrual production?,Yu
Which place has yielded the earliest known body of Chinese writing?,Anyang
Is Castor or Pollux brighter?,Pollux
Is Lagoon Nebula a well-known nebula?,Yes
Was Yang Jian the regent to the Northern Zhou court in 577?,Yes
When was the rump state of Western Liang conquered by the Sui dynasty.,587
"Does Scorpius contain ""rival of Mars"" and ""the forehead""?",Yes
Who abandoned his position as Agrarian Master Chinese pinyin N ngsh?,Buzhu
Where is the Tang capital?,Chang'an
"Since it appeared in the Pokémon series, did Jigglypuff receive generally negative reception?",No
"What classic, Ming-era novel retells the story of the war between Shang and Zhou?",Fengshen Yanyi
What star is the brightest in this constellation?,Aldebaran
Did teaching Urdu in school create new Urdu speakers?,Yes
Who succeeded Shun as emperor?,Yu
Who propably painted the Gathering of Kings?,Yan Liben
What is the most widely spoken language of Bangladesh?,Bengali.
What is Western Sahara formerly known was?,Spanish Sahara
Is French a Romance language of the Indo-European family?,Yes
What case is used when the pronoun is the subject of a finite clause?,Subjective
Is Tarf a binary star system?,Yes
What is Charmander known as in Japan?,Hitokage
Is Luoyang in the west of Chang'an?,No
What is the brightest visible region of the Milky Way?,The Large Sagittarius Star Cloud 
What is the classification of the learning difficulty for native English speakers?,Level III
What color is Pikachu?,yellow
Was Longmen Caves built mid-to-late fifth century?,No
Do we know a limit to how big Jigglypuff can grow?,No
What were the traditional dates of the dynasty?,1766 BC to 1122 BC
Is Charmander a well-liked Pokémon?,yes
What is the integrated magnitude of the Omega Nebula?,6.0
When was Urdu was chosen as an official language of Pakistan?,1947
What magazine praised Mewtwo as a character with “philosophical depth” and for serving as “an adversary of almost infinite power and genuine malice” that the anime series has been lacking? ,Animerica
Who identified that patients with diabetes had an excess of sugar in their urine?,Zhen Chuan
What shape do the bright stars of Libra in the nearest OB association form?,A hook
Does English belong to the West Germanic group of the Germanic languages?,Yes
What borders Kerala to the west?,the Lakshadweep Sea
Which is the second most spoken language in Meghalaya?,Garo
Is Maharashtra the the third-most populous state in India,No
What country did Spanish originate from?,Spain
How much did the rate of electricity access in Rajasthan increase from 2015 to 2019?,29%
Who is the son of Aphrodite?,Eros
How many subdivisions did astronomer Johannes Hevelius in his Firmamentum Sobiescianum divide the constellation Pisces into?,Four
Is Sagittarius between Scorpius and Ophiuchus?,Yes.
Did Zu Chongzhi live during the Liu Song period?,Yes
Who succeeded Emperor Min?,Sima Rui
Who was Artemis' mother?,Leto
Does 90% of Meghalaya's population depend entirely on agriculture for their livelihood?,No
What is the radius of HD 210277?,1.1 solar radii
Who ruled modern-day Junagadh from 322 BCE to 294 BCE?,Pushyagupta
Do May and Ash's bulbasaurs have different voice actors?,Yes.
What move does Snorlax gain in Gigantamax form?,G-Max Replenish
During the reign of which emperor did the Sui dynastic invade Goguryeo with massive army?,Emperor Yang
Kerala is home to what percent of India's population?,2.8
What does Munchlax evolve into?,Snorlax
Would the peerage ranks below the royal ranks never take power from his nobles and centralize the state?,No
How long do the southwest monsoons last?,About 3 months
What did Javanese fail to do for Indonesia after its independence?,Unite the diverse Indonesian population
Was the source of Malabar peppers vulnerable to pirates?,Yes.
Do Jaintias form the largest tribal group in Meghalaya?,No
"What year did scholars notice ""dragon bones"" being sold with archaic characters?",1899
Which group of people call the Capricornus constellation the Roofing Towers?,The Nakh peoples
What appearance does the English name of Jigglypuff relate to?,jelly-like
How many days long is Durga Puja?,Five
"If Pikachu Peak has an elevation of 5000 m, can it be found in Meghalaya?",No
Can Portugal be referred to as a Lusophone?,Yes
What does Aquarius mean in Latin?,water-carrier
When did Charmander first appear in Pokemon Indigo League?,Episode 11
What is the official language of West Bengal?,Bengali
What site ranked Squirtle the 46th best Pokémon ever?,IGN
"At 2014 FIFA World Cup, was there more than one Pokémon chosen as Japan's mascot?",yes
Is the the Bay of Bengal in West Bengal?,yes
Which king did the Han court not replace by 196 BC?,Changsha
Do western scholars believe that settlements like Sanxingdui belong to the Shang dynasty?,No.
Portuguese portuguesa is a western Romance language of what language family?,IndoEuropean
Is Capricornus a faint constellation?,Yes
Is West Bengal's capital the seventh-largest city in India?,Yes
Which star's system contains a planet 7.5 times that of Jupiter?,70 Virginis
Why has Kerala had the highest road accident rate in the country?,Narrow roads and irresponsible driving
Did Artemis and her mother send a scorpion to kill Orion in one version of myths?,Yes
When was Messier 80 discovered?,1860
When did the British East India Company choose Urdu as the language to replace Persian across northern India?,1837
What constellation is east of the constellation that means ram in Latin?,Taurus
Is West Bengal the second-most visited tourist destination in India?,No
"Who once called Portuguese ""the sweet and gracious language""?",Miguel de Cervantes
What was Belize formerly known as?,British Honduras
Who is the daughter of Icarius of Athens?,Erigone.
In which year did the location of the Sun on the first day of summer move from Gemini into Taurus?,1990
In what city is the Bombay Stock Exchange located?,Mumbai
Is French the third most spoken language in the United States?,No
Is Omega Sagittarii a part of the asterism Terebellum?,Yes
Was 1745 the first year that the open cluster discovered?,Yes
What did Maharana Pratap do to become the most Rajasthan?,liberate most of Mewar
French is the official language of how many countries across multiple continents?,29
Asian governments spoke Portuguese in the 16th century,TRUE
Why is the central area of the Lagoon Nebula shaped like an hourglass?,matter propelled by Herschel 36
Did Indian independence movement create a division between the rich and the middle and lower classes?,Yes
Which year did Emperor Wu die?,290
What Pokémon does Pikachu evolve into?,Raichu
How many official languages are there of NATO?,Four.
Did Xiao Tui become the emperor in 553?,No
Have Stone Age tools been excavated in West Bengal?,Yes
Has Snorlax received generally positive reception from the media?,Yes
Does the Capricornus constellation contain any spiral galaxies?,Yes
Did the Shang practice human sacrifices?,Yes
What animal is Capricornus in Indian astronomy?,Crocodile
Is Kolkata a larger city than Asansol?,No
Was Pokémon gold and Silver released after Pokémon Red and Green?,Yes
What color is Pikachu's ears?,Black
What was the city whose remains where discovered in 1999 across the Huan river?,Huanbei
The Pleiades and the Hyades are visible to the naked eye.,Yes
Did the Yin dynasty traditionally succeed the Xia dynasty?,Yes
Did Northern Wei build more than 2000 li defence line in 423?,Yes
What is the second most common religion in Indian Punjab?,Hinduism
Why is Capricornus faint?,It only has one star above magnitude 3
What is the Sachsenspiegel?,The first book of laws written in Middle Low German
Did the Reformists in the Han dynasty promote an aggressive foreign policy?,No
In which year was the Museum of the Portuguese Language partially destroyed by a fire?,2015
Do people in the LGBTQ community in Tamil Nadu have more rights compared to citizens of other Indian states?,yes
Which occupation does the Koli dance represent?,Fishing
What is the second-brightest star in Gemini?,Castor.
During what season did Emperor Taiwu begin to attack the Northern Yan dynasty?,Summer
Does Leo only contain one galaxy?,No 
When were all remote villages in West Bengal electrified?,September 2017
When was Kerala formed?,1-Nov-56
What was the language of the sultanate of Brunei and of future Malaysia in 1945?,Malay
Did Chen Baxian display a relic believed to be a Buddha's tooth and hold a major Buddhist festival?,Yes
Did Emperor Xiaowen introduce changes that eventually led to the dynasty moving its capital from Datong to Luoyang in 494?,Yes
How far from Earth is the system that a wide-set red dwarf star is a part of?,52 light-years.
"Of what two words is ""Psyduck"" a combination of?","psychic and ""duck"""
What Mesopotamian god associated Virgo with fertility?,Shala.
Do the Jodhpur Airport and the Kota Airport both serve civilians who want to go to Delhi?,No
Does Misty have a psyduck in the Pokemon anime?,Yes.
What is the most spoken language in the European Union?,German
How many European Union citizens speak French?,0.1971
How many districts are in the sixth-largest Indian state by area?,31
On what date to the Delta Aquariids first peak?,29-Jul
Did most Sangam literature deal with themes of hubris?,No
Did Northern Wei unified northern China before broke out with Liu Song dynasty,No
"What period saw the further displacement of Latin by German as the primary language of courtly proceedings and, increasingly, of literature in the German states?",the Early New High German (ENHG) period
Who began the magazine Pujangga Baru?,"Sutan Takdir Alisjahbana, Amir Hamzah, and Armijn Pane"
Was Dong Zhongshu a Confucianism scholar?,Yes.
The Shang dynasty succeeded which dynasty?,The Xia dynasty
Are there people in Andhra Pradesh who practice Buddhism?,Yes
Did Mughul rule come after the Gupta Empire in the timeline of Punjab?,Yes
Whose clone is the friend of Mewtwo who dies in the Birth of Mewtwo: Pokémon Radio Drama?,Fuji's deceased daughter.
Where did Lana acquire Sandy?,Alola.
"What does ""Libra"" stand for in Latin?",weighing scales
"Prior to Indian independence, what was the main political party in Tamil Nadu?",Indian National Congress
What dynasty is Liang preceded by?,Southern Qi dynasty
Where is Scorpius located?,In the Southern celestial hemisphere
What is the capital of Madhya Pradesh?,Bhopal
Who's birthday is celebrated as Hindi Day?,Beohar Rajendra Simha
"After Indian independence, were the princely states and Jagirs of the Deccan States Agency merged into Andhra State",No
When was Emperor Wen's first year of reign?,422 CE
Did Li Rong use Language Atlas of China?,yes
Is Bhartiya Janta Party a ruling party in Rajasthan?,No
Where is Urdu primarily spoken?,South Asia
Is learning Urdu required in Meghalaya schools?,No
Is the Sombrero Galaxy part of the Virgo cluster?,No
What is Bulbasaur's name based off of?,Onions and frogs.
Which state is the third-largest state by area in terms of land area in India?,Maharasthra
What is the capital and largest city in Madhya Pradesh?,Bhopal and Indore
When was Rajasthan formed?,30 March 1949
Was Castor mortal?,Yes
Does the star 70 Virionis have a planet?,Yes.
"As of 2011, the Sun appears in what constellation from June 21 to July 20?",Gemini
Was Emperor Yang of Sui related to Li Yuan?,Yes
How many Starter Pokémon are in Pokémon Yellow?,1
"Which pokemon did GamesRadar describe as ""hands-down one of the coolest Pokémon out there""?",Charizard
What is the second-fast growing European Language? ,Portuguese
Who was the first recorded king of Bengal?,Shashanka
Did the earliest dynasty of traditional Chinese history firmly supported by archaeological evidence yield the earliest known body of Chinese writing?,Yes
"In which Indian state is the ""Chicken's Neck"" found?",West Bengal
"Did the Shang invent musical instruments, observe comets, hunt animals, and practice human sacrifice?",Yes
Is Hindi the official language of Meghalaya?,No
In what century did Indonesia's commerce relationship with China start? ,7th century
What is the official language of Kerala?,Malayam
The Han dynasty inherited the ban liang coin type from which dynasty? ,Qin
Is Virgo most prominent in the autumn sky?,No.
"How many countries are a part of the ""German Sprachraum""? ",7
What is the population of Madhya Pradesh?,72 million
What description did the New York Times give to Psyduck,It looks entertainingly silly
Where is Hindi adopted as the third official court language?,Emirate of Abu Dhabi
Is Bengali-Assamese script an abugida?,Yes
Did Emperor Yang completed the construction of the Grand Canal that directly linked Chang'an to the Yellow River?,No
When was Speak Mandarin Campaign launched?,1979
What is the chinese word for the Xia dynasty?,Xiàcháo
Is Cherrapunji a tourist destination in north-west of India?,No
Does English share innovations with Swedish?,Yes
How large is Uttar Pradesh?,"243,290 square kilometres"
"What inflected, pluricentric language is the second most commonly used scientific language?",German
Is Bengali a head-final language?,Yes
Is Mandarin the official language of Taiwan?,Yes
Arabic is an important language to what religion?,Islam
Did the Yin dynasty followed by the Western Zhou dynasty?,Yes
"In Detective Pikachu, is Lucy Stevens male?",No
What is the Japanese name for Jigglypuff?,Purin
What Pokémon evolves into Snorlax?,Munchlax
Is Indonesian more popular the Malaysian Malay internationally?,yes
Did Emperor encourage low taxation?,No
Can Cancer be seen with the naked eye from a city?,No
Is Sufism well-established in Punjab?,Yes
Is the East Bengal Club located in West Bengal?,Yes
What changes in Hindi characterised the transition from Middle Indo-Aryan?,Sounds of vowels
What territories did Modu Chanyu control by the end of his reign?,"Manchuria, Mongola and the Tarim Basin."
When is Hindi day celebrated?,14 September
Have Stone Age tools been found in Rajasthan?,Yes
When did English achieve party with french as a language of diplomacy?,1919
Was Shang the latest dynasty of traditional Chinese history firmly supported by archaeological evidence?,No
Into how many dialect regions can English in England be divided?,4
What is the vast trade network known as ,Silk Road
In how many Shang oracle bone inscriptions was King Wu Ding's most famous consort mentioned?,170 to 180.
Who were the local aristocrat clans of the south often at odds with?,the immigrants from the north
Why Portuguese speakers are found around the world?,Expansion during colonial times
"When were  17,000 Bok globules discovered in the Lagoon Nebula?",1956
What is the earliest form of English called?,Old English or Anglo-Saxon
What is a factor causing the dialects in and around the Nantong area to have more than 4 tones?,The Wu dialects
Did the British govern northern Maharashtra as a part of the Bombay Presidency?,No
Why is the belief that Hindi is the national language of India a source for friction?,There is no specific mention of a national language in the Constitution
Where is the newspaper La Syrie headquartered?,Beirut
How many southern dynasties were there during the Northern and Southern dynasties period?,Four
Where was the Sui dynasty founded?,Chang'an
Does Librae can be considered as a single star system?,No
Was Eevee's second appearance in the anime in The Battling Eevee Brothers?,No
Is Karnataka meteorologically divided into two zones?,No
Is Taurus in the Northern Hemisphere's winter sky?,Yes
Was German the language of commerce in the Habsburg Empire prior to the mid-nineteenth century?,Yes
How many scheduled languages does the Republic of India have?,22
Where is the Milky Way at its densest?,Near Sagittarius
What language is spoken by all educated Haitians?,French
"Who introduced ""equal-field"" policy in the North Wei regime?",Empress Dowager Feng
Who portrayed Jigglypuff in the live-action musical Pokemon Live!?,Leah Smith
Are Poorams and Onams the names of festivals held in Kerala?,Yes
Is the Sombrero galaxy part of the Virgo cluster?,No
Did Operation Polo occur before or after the British Raj?,After
Was Aramaic ever more widely spoken than English is now?,No
What religion is Arabic commonly associated with?,Islam
Why did Yang Jian withdraw his forces?,he decided that it was improper to attack a state that had just lost its emperor
When did the Three Kingdoms period end?,280
How did the piece of fruit help Jigglypuff?,It soothed its throat
What percent of modern Spanish vocabulary is derived from Latin?,75
What are the chapters of the Quran called?,Suras
Is Jigglypuff one of the Pokemon that appears in the Pokemon: Detective Pikachu film?,Yes
Who replaced the Chen Dynasty?,The Sui Dynasty.
What character was used by psychiatrists to empower traumatized children?,Charizard
What does modern China’s majority ethnic group refer themselves as?,Han People
Were the Gallaeci pre-Roman inhabitants of Portugal?,Yes
Can Magikarp learn the moves Splash and Tackle from generations 2 to 8?,Yes
What is HIP 14810 orbited by?,Three giant planets
When can Capricornus be best seen from Europe?,4:00AM in September
"Does Snorlax weigh less than 1,000 pounds?",No
Does Afrikaans belong to the same language branch as Gothic?,No
Are Makara and Roofing Towers different names for the same constellation?,Yes
What state did Hyderabad become the new capital of?,Andhra Pradesh
Is Gokaka India's tallest waterfall?,No
Was Yuan Hao the Prince of Wei when he surrendered his territories to Liang?,No
Who voiced Mewtwo's younger self in the anime adaptation?,Showtaro Morikubo
How many constellations were decribed by Ptolemy?,48
Is the economy of Karnataka in the top three among Indian states?,No
Which river flooded when Gun was appointed by Emperor Yao to stop the flooding?,the Yellow River
When did Emperor Wu died?,550
When did Huhanye Chanyu submit to the Han?,51 BC
Is Arabic related to languages in the subgroups of the Semitic language group?,Yes.
Did Squirtle ever evolve in the anime?,No
"After Shang's collapse, Did Zhou's rulers scattered ""Yin diehards"" (殷頑) throughout Zhou territory?",Yes
Has the literacy rate in Rajasthan ever been above the  national average?,No
What negated the effects of Stealth Rock?,Heavy-Duty Boots
What kind of language do Punjabi people speak?,Indo-Aryan Punjabi language
Was Charizard beaten by Mewtwo?,No
Where is the capital of Meghalaya?,Shillong
Was Yingying's Biography became the basis for plays in Chinese opera by the Yuan dynasty?,Yes
Which character owned a Bulbasaur in Magical Pokémon Journey?,Pistachio
What did Portraits of Periodical Offering of Liang depict?,foreign embassies that took place
Who are the two main designers of Pikachu?,"Atsuko Nishida, Ken Sugimori"
Did the Satavahana King Gautamiputra conquer all of Malwa in the 2nd century?,No
Where did the English language first evolve?,Britain and Ireland
Where does the June full moon appear?,In Sagittarius
Which colonizer nation built The Shettihalli Rosary Church in India?,France
Did Antenteh refuse the wish offered by the two magical fish?,Yes
Who created Eevee?,Motofumi Fujiwara
In which battle did the Han restorationist armies completedly defeat the Wang's loyalist armies?,Battle of Kunyang
Does Eevee has more than 5 evolutions?,Yes
Which company did Atsuko Nishida work for?,Nintendo
German is most similar to other languages within what language branch?,West Germanic
What important figurative device was introduced to poetry by the Quran?,Repetition
How many languages does Gulzar write in?,1
Did Emperor Wen and Emperor Yang both involved in the construction of the Grand Canal?,Yes
Who is known for calculating pi to seven decimal places?,Zu Chongzhi
Is Mandarin the second largest of the seven Chinese dialect groups?,No
"Apart from hydrogen, what is the other element found within galaxies of Leo?",helium
How did Yu help increase agricultural production?,He succeded in stopping the floods
Meghalaya is predominantly what kind of economy?,agrarian
How many Pokémon designs were there for the first generation of Pokémon games?,151
Does The state of Bihar allow the sale of alcohol? ,no
Charizard  can breathe intense flames that can melt any material and torch a weaker foe.,No
What is the largest zodiac constellation?,Virgo.
Who allied with Western Wei in order to eliminate Xiao Ji?,Xiao Yi.
Members of which office consider Psyduck their favorite character?,IGN
How many Spanish speakers live the United states?,50 million
Is only a minority of Meghalaya forested? ,No 
Where is Punjab?,South Asia
"What lead to native speakers may have Sanskrit consonant clusters which do not exist in native Hindi, causing difficulties in pronunciation?",Excessive use of tatsam words
For what popular sport are there three stadiums in Madhya Pradesh?,Cricket
Which Chinese dynasty is also called Yin dynasty?,Shang dynasty
When was the end of the Old High German period?,1050
When did the Maratha Navy cease to exist?,1818
Is it true that Magikarp can only learn three moves by leveling?,yes
When do the Epsilon Geminids peak? ,between October 18 and October 29
Is Beta Librae considered to represent the weighing pans?,No
What is the earliest hypothesized identification of Taurus?,The Upper Paleolithic
Does regional variation in spoken Bengali constitute a dialect continuum?,Yes
How many prominent forms and characters is Hindi literature roughly divided into?,4
What is the most populated state in India?,Uttar Pradesh.
How far away from Earth is NGC 5897?,"50,000 light years"
How many stars in the Leo constellation are in the first or second magnitude?,Four
What constellation is Libra bordered by to the east? ,Scorpius
What are the three standardized variants of German?,"German, Austrian, and Swiss Standard High German"
Does over 99% of the Chinese population currently speak Mandarin?,No
Which kind of currency did the Xin Dynasty replace from?,gold
Which star in the Sagittarius constellation is the second brightest star and is 260 light years away?,Sigma Sagittarii 
Which poet was viewed as a anti-traditional rebel?,Du Fu
"Which is a double star in the Gemini constellation whose primary is a Cepheid variable star and is 220,000 times the size of the Sun?",Mekbuda
Which language family is German in?,Indo-European
How many constellations border Libra?,Seven
Who designed Bulbasaur?,Atsuko Nishida.
Is Iberian related to the Latin language? ,No 
Was the Great Vowel Shift a chain shift?,Yes
Was Fort William College established before the Lady Brabourne College?,Yes
In what year was the act that incorporated Hyderabad and Bombay into the Mysore state passed?,1956
What is the capital of Meghalaya?,Shillong
Did Psyduck made its first appearance in Pokémon Red and Blue?,Yes
What function does the Ruassian lanugage department have without internet connection in the Havana State University?,scrutinizing e-books
Is Aries a large-sized constellation?,No.
"Does ""Hindi-Urdu"" share the same meaning with ""Hindustani""?",yes
When was the Iberian Peninsula conquered by Germanic peoples of the Migration Period?,Between AD 409 and AD 711
Is the dynasty founded by Tang of Shang the earliest dynasty of traditional Chinese history firmly supported by archaeological evidence?,Yes
Who first identifitied that patients with dabetes had an excess of  sugar in their urine?,Zhen Chuan and Sun Simiao
Which city became a center of the Ismaili sect of Islam after the Umayyad caliphate conquered the region in 711 AD?,the city of Multan
Did Pushyagupta live over 2000 years ago?,Yes
Who created Charizard?,Atsuko Nishida.
Does Aquarius have any stars more than magnitude 3?,No
Did Ptolemy catalogue 36 stars?,No
What is the official language of Meghalaya? ,English 
Was the Tuoba chief granted the title of the Prince of Dai in 315?,Yes
Which province was a new provinced established in 1901?,the Norht-West Frontier Province 
The Koch dynasty in northern Bengal flourished after the death of which Emperor and Governor?,"Emperor Aurangzeb and Governor of Bengal, Shaista Khan"
Where can you buy a cast necklaces inspired by Psyduck?,Japan
What is a special group of Pokémon that are very rare and usually very powerful called?,Legendary Pokémon.
Is the Taiwanese Standard Mandarin very different from that of the Mainland?,No
Which dynasty did the Houjing Disturbance cause the downfall of?,the Liang dynasty
When was Emperor Yan assasinated?,618
Does Gujarat come under the northen Railway Zone of the Indian Railways?,no
"In the first-millennium BC texts known as the Astronomical Diaries, was part of Pisces called DU.NU.NU?",Yes
How many main streets intersected with the avenue connecting the Mingde Gates and the central administrative city?,fourteen
What two stars take up most of Gemini?,Castor and Pollux
Who calls this constellation Roofing Towers?,The Nakh peoples.
Is Logan Paul a Youtuber?,yes
Is the name of Gujarat derived from a dynasty from over 1000 years ago?,Yes
Who founded dynasty Sui?,Emperor Wen.
"In year 2014, which country was accepted as a member of the Community of Portuguese Language Countries?",Equatorial Guinea
Who wrote the book The Strangers's East Indian Guide to the Hindoostanee Or Grand Popular Language of India (improperly Called Moors),John Gilchrist
What does Venusaur evolve from?,Ivysaur
Is Leo the most recently recognized constellation?,No 
How many phases of English were mentioned in the passage?,4
Which dialect is the Standard Mandarin Chinese based on?,the Beijing dialect
What was the second dynasty to rule over Uttar Pradesh sequentially between 1206 and 1526?,Khalji
Do national highways make up the majority of Andhra Pradesh's road network?,No
Where are multimillion-dollar Bollywood productions filmed?,Mumbai
Was infant Zeus' father dangerous?,Yes
What is the further evolution of Squirtle?,Blastoise.
Could a native Bengali word have three consonants in a row?,No
What makes Pikachu popular amongst children?,"It resembles a comforting pet, and was a recognizable color"
What disturbance ruined the Liang dynasty?,Houjing Disturbance.
Where was India's first port established?,Lothal
Who founded the Liu Song dynasty?,Liu Yu
Squirtle has appeared in which Pokemon movie?,Detective Pikachu.
Did Liu Xiu become the emperor in Chang’an?,No
Where can Magikarp be found?,"many bodies of water, such as lakes, rivers, and ponds"
What percent of Bangladeshis use Bengali as their first language?,98
What are the three types of cross that Mewtwo has been likened to?,"Cat, squirrel, and kangaroo."
Who established The Han dynasty?,Liu Bang (Emperor Gao) 
When would one use a compund consisting of six words in German?,humorous contexts
After evolving to what form did Charizard's personality in the anime start to cause issues for Ash?,Charmeleon
When does Orion hunt every year?,winter
Is Meghalaya the most literate state in India?,No
Was Agra ever the capital of Uttar Pradesh?,Yes
What was the dynasty conquered by Zhou?,Shang
Did Pei Ji participate in Emperor Xuan's campaign against the Northern Qi in spring 573?,Yes
What kind of grammatical construct is more common in Urdu when compared with Hindi?,"the Persian ""-e-"""
What is the official language of Rajasthan?,Hindi
Will New Horizons always be inside the Solar System?,No
Does Uttar Pradesh have a railway network?,Yes.
What Indian state has the most number of biotechnology firms?,Karnataka.
Is German the fifth most spoken language in terms of native and second language speakers?,Yes
What is Psyduck's Japanese name?,Koduck
What is Snorlax's Japanese name?,Kabigon
Is Catalan the same language as Spanish?,No
Who was a descendant of the Xia dynasty Kings through Shao Kang?,Zengzi
Why was Malay never a dominant language in Indonesia at the start of the 1600s?,it was limited to mercantile activity
Is Urdu relatable to Persian?,Yes.
Which language is derived from Arabic but uses Latin letters?,Maltese
Which of the nearest open clusters to Earth are in Taurus?,the Pleiades and the Hyades
What was the figure of Capricornus called in the Society Islands?,Rua-o-Mere.
How many days does the sun take to pass through Virgo?,44 days
What group of Germanic languages does English belong to?,West Germanic languages.
What are the twins that the Gemini constellation is named for?,The stars Castor and Pollux
Is the Middle English often arbitrarily defined as beginning with the conquest of England by William the Conqueror in 1066?,Yes
Is Tamil Nadu coastal?,Yes.
"Under capricornus's modern boundaries, what constellations are next to it?","Aquila, Sagittarius, Microscopium, Piscis Austrinus, and Aquarius"
Was Chen Daotan honor his father as an emperor?,No
Where was Amul formed?,"Anand, Gujarat"
What country did Spanish originate from?,Spain
What is the evolved form of Squirtle into Wartortle called?,Turtley
"In the online phenomenon known as Twitch Plays Pokemon, did Charmander go into the wild?",Yes
Is Hindi the most-spoken language in the world?,No
How many verified exoplanets are there orbiting the stars in Virgo?,35
Is Gemini one of the 88 modern constellations today?,Yes.
Can Charizard torch a weaker foe?,No.
Why did China's first imperial dynasty collapse?,Rebellion
How many hours of immersion instruction are needed to achieve intermediate fluency according to the standards of the Defense Language Institute?,"1,100 hours"
Has Magikarp appeared in Pokémon Emerald?,yes
What was the chief building material during the Han dynasty? ,timber
Is West Bengal's capital the fifth-largest city in India?,No
How many stars of naked eye visibility does Gemini contain.,85
Do planets orbit star?,Yes
Can another Pokémon besides pikachu naturally learn  Thunderbolt?,No
Did Northen Qi support Xiao Fangzhi as the emperor?,No
What is the earliest period where people lived in Meghalaya?,Neolithic
"In the first generation of Pokemon games, could Magikarp learn 3 moves?",No.
In which Pocket Monsters games is Mewtwo the genetic recombination of Mew's DNA?,Red and Green
What vegetable and animal is Bulbasaur and its evolutions based on?,Onion and frog
What is Easter Island's traditional language?,Rapa Nui
What makes Jigglypuff's singing unique?,"It can sing without taking breaths, and can adjust the wavelength of their voices"
Is West Bengal the most populous state in India?,No
Is Pikachu a major mascot for Nintendo?,Yes
Which Nebula is located 5000 light-years from the earth and has a pink-hue?,Lagoon Nebula 
What period of the Portuguese language directly followed the Proto-Portuguese period?,Galician-Portuguese
How long did Tibetans capture Chang'an during the An Shi Rebellion?,fifteen days
How many members are in Gujarat's  Legislative Assembly?,182
Were industrial visionaries important in the development of Karnataka's manufacturing and industrial base?,Yes
When did the Babylonians record Capricornus?,Before 1000 BCE.
"As of the 2011 census, did more than a quarter of the Indian population speak Hindi as their first language?",No
Did Taizong build upon the Sui legal code?,yes
Is Sagittarius one of the constellations of the zodiac and is located in the Southern celestial hemisphere.,Yes
What did the Champans ride into battle against the Sui?,Elephants
Who killed Jigglypuff while playing Pokemon GO?,John Oliver
Why did Emperor Wen convert to Buddhism?,To legitimize imperial authority over China
Who founded the Tang dynasty?,the Lǐ family
Does The state of Mizoram allow the sale of alcohol? ,no
Did Wu Zetian entere Emperor Gaozong's court as the highly consort?,No
Where did Portuguese originate?,Iberian Peninsula
Which language replaced the Literary Chinese during New Culture Movement?,vernacular Chinese
Do children work in Punjab?,yes
What country borders Uttar Pradesh?,Nepal
